accuracy,loss,val_accuracy,val_loss
0.9378584027290344,0.18634775280952454,0.9513224959373474,0.14670710265636444
0.9555477499961853,0.13401298224925995,0.960644543170929,0.1274251788854599
0.9622452259063721,0.11735610663890839,0.9658174514770508,0.1103278398513794
0.9649670720100403,0.11093883216381073,0.966516375541687,0.10865495353937149
0.9661704301834106,0.10712708532810211,0.9682489037513733,0.10308521240949631
0.9669764041900635,0.1044321358203888,0.9692972302436829,0.10009992867708206
0.9674661755561829,0.1021975725889206,0.9640357494354248,0.10748367011547089
0.9678992629051208,0.10022540390491486,0.9680963158607483,0.09816717356443405
0.9683139324188232,0.09820904582738876,0.969942033290863,0.09466433525085449
0.9687002897262573,0.09641663730144501,0.9693218469619751,0.09500385820865631
0.968977153301239,0.09473872184753418,0.9710100889205933,0.09171658009290695
0.9692515730857849,0.09314464032649994,0.9688690304756165,0.09550610184669495
0.9694743156433105,0.09179575741291046,0.970311164855957,0.0895109623670578
0.9695616364479065,0.09068463742733002,0.9709067344665527,0.08777611702680588
0.9700120091438293,0.0894659236073494,0.9685491323471069,0.09540675580501556
0.9702544212341309,0.08843974769115448,0.9713988900184631,0.08680637925863266
0.9701830744743347,0.08774648606777191,0.971876323223114,0.08496733754873276
0.9704537391662598,0.08695941418409348,0.9724128246307373,0.0838501825928688
0.9705792665481567,0.08634430915117264,0.970616340637207,0.08637888729572296
0.9707502722740173,0.08576520532369614,0.972496509552002,0.0833175927400589
