Time,Sample #,Type
0.696,174,(
0.728,182,N
0.732,183,N
0.768,192,)
0.908,227,(
1.000,250,t
1.000,250,t
1.080,270,)
1.560,390,(
1.592,398,N
1.592,398,N
1.628,407,)
1.748,437,(
1.836,459,t
1.840,460,t
1.916,479,)
2.392,598,(
2.428,607,N
2.428,607,N
2.464,616,)
2.592,648,(
2.680,670,t
2.684,671,t
2.760,690,)
3.240,810,(
3.272,818,N
3.272,818,N
3.308,827,)
3.432,858,(
3.524,881,t
3.524,881,t
3.612,903,)
4.080,1020,(
4.112,1028,N
4.112,1028,N
4.148,1037,)
4.272,1068,(
4.368,1092,t
4.372,1093,t
4.456,1114,)
4.944,1236,(
4.980,1245,N
4.980,1245,N
5.020,1255,)
5.164,1291,(
5.264,1316,t
5.272,1318,t
5.352,1338,)
5.868,1467,(
5.904,1476,N
5.904,1476,N
5.944,1486,)
6.080,1520,(
6.180,1545,t
6.180,1545,t
6.260,1565,)
6.748,1687,(
6.780,1695,N
6.784,1696,N
6.816,1704,)
6.940,1735,(
7.040,1760,t
7.040,1760,t
7.124,1781,)
7.584,1896,(
7.616,1904,N
7.620,1905,N
7.656,1914,)
7.784,1946,(
7.884,1971,t
7.888,1972,t
7.968,1992,)
8.416,2104,(
8.448,2112,N
8.448,2112,N
8.488,2122,)
8.616,2154,(
8.720,2180,t
8.720,2180,t
8.796,2199,)
9.256,2314,(
9.292,2323,N
9.292,2323,N
9.328,2332,)
9.468,2367,(
9.564,2391,t
9.564,2391,t
9.644,2411,)
10.088,2522,(
10.124,2531,N
10.124,2531,N
10.164,2541,)
10.296,2574,(
10.396,2599,t
10.396,2599,t
10.476,2619,)
10.944,2736,(
10.976,2744,N
10.980,2745,N
11.020,2755,)
11.160,2790,(
11.260,2815,t
11.260,2815,t
11.340,2835,)
11.856,2964,(
11.888,2972,N
11.892,2973,N
11.932,2983,)
12.080,3020,(
12.176,3044,t
12.180,3045,t
12.260,3065,)
12.764,3191,(
12.800,3200,N
12.800,3200,N
12.824,3206,)
12.968,3242,(
13.068,3267,t
13.068,3267,t
13.148,3287,)
13.680,3420,(
13.712,3428,N
13.712,3428,N
13.748,3437,)
13.868,3467,(
13.964,3491,t
13.964,3491,t
14.040,3510,)
14.556,3639,(
14.588,3647,N
14.592,3648,N
14.628,3657,)
14.752,3688,(
14.844,3711,t
14.844,3711,t
14.924,3731,)
15.460,3865,(
15.492,3873,N
15.496,3874,N
15.536,3884,)
15.668,3917,(
15.768,3942,t
15.772,3943,t
15.852,3963,)
16.328,4082,(
16.360,4090,N
16.360,4090,N
16.400,4100,)
16.536,4134,(
16.636,4159,t
16.640,4160,t
16.720,4180,)
17.228,4307,(
17.260,4315,N
17.264,4316,N
17.304,4326,)
17.440,4360,(
17.544,4386,t
17.544,4386,t
17.624,4406,)
18.160,4540,(
18.196,4549,N
18.200,4550,N
18.240,4560,)
18.380,4595,(
18.480,4620,t
18.480,4620,t
18.564,4641,)
19.052,4763,(
