Time,Sample #,Type
0.888,222,(
0.908,227,p
0.920,230,p
0.952,238,)
1.028,257,(
1.056,264,N
1.060,265,N
1.100,275,)
1.232,308,(
1.288,322,t
1.320,330,t
1.360,340,)
1.836,459,(
1.864,466,p
1.872,468,p
1.904,476,)
1.976,494,(
2.008,502,N
2.012,503,N
2.060,515,)
2.200,550,(
2.248,562,t
2.276,569,t
2.356,589,)
2.836,709,(
2.880,720,p
2.888,722,p
2.924,731,)
2.964,741,(
3.020,755,N
3.024,756,N
3.064,766,)
3.184,796,(
3.236,809,t
3.288,822,t
3.372,843,)
3.860,965,(
3.880,970,p
3.892,973,p
3.924,981,)
3.992,998,(
4.024,1006,N
4.028,1007,N
4.064,1016,)
4.188,1047,(
4.260,1065,t
4.296,1074,t
4.384,1096,)
4.828,1207,(
4.860,1215,p
4.880,1220,p
4.904,1226,)
4.976,1244,(
5.008,1252,N
5.012,1253,N
5.048,1262,)
5.172,1293,(
5.276,1319,t
5.316,1329,t
5.344,1336,)
5.776,1444,(
5.816,1454,p
5.828,1457,p
5.860,1465,)
5.936,1484,(
5.964,1491,N
5.968,1492,N
6.004,1501,)
6.144,1536,(
6.192,1548,t
6.228,1557,t
6.316,1579,)
6.704,1676,(
6.748,1687,p
6.756,1689,p
6.784,1696,)
6.852,1713,(
6.888,1722,N
6.896,1724,N
6.928,1732,)
7.064,1766,(
7.124,1781,t
7.152,1788,t
7.236,1809,)
7.616,1904,(
7.664,1916,p
7.676,1919,p
7.704,1926,)
7.780,1945,(
7.804,1951,N
7.808,1952,N
7.872,1968,)
8.056,2014,(
8.072,2018,t
8.148,2037,)
8.532,2133,(
8.568,2142,p
8.572,2143,p
8.604,2151,)
8.684,2171,(
8.708,2177,N
8.712,2178,N
8.748,2187,)
8.896,2224,(
8.980,2245,t
9.028,2257,t
9.052,2263,)
9.424,2356,(
9.464,2366,p
9.476,2369,p
9.508,2377,)
9.580,2395,(
9.608,2402,N
9.612,2403,N
9.648,2412,)
9.784,2446,(
9.824,2456,t
9.872,2468,t
9.912,2478,)
10.332,2583,(
10.376,2594,p
10.388,2597,p
10.416,2604,)
10.496,2624,(
10.520,2630,N
10.524,2631,N
10.568,2642,)
10.704,2676,(
10.752,2688,t
10.788,2697,t
10.872,2718,)
11.256,2814,(
11.292,2823,p
11.304,2826,p
11.340,2835,)
11.412,2853,(
11.440,2860,N
11.444,2861,N
11.484,2871,)
11.640,2910,(
11.668,2917,t
11.708,2927,t
11.792,2948,)
12.196,3049,(
12.208,3052,p
12.228,3057,p
12.248,3062,)
12.328,3082,(
12.356,3089,N
12.360,3090,N
12.408,3102,)
12.540,3135,(
12.588,3147,t
12.620,3155,t
12.712,3178,)
13.104,3276,(
13.136,3284,p
13.148,3287,p
13.176,3294,)
13.248,3312,(
13.276,3319,N
13.280,3320,N
13.320,3330,)
13.472,3368,(
13.512,3378,t
13.544,3386,t
13.584,3396,)
14.044,3511,(
14.068,3517,p
14.072,3518,p
14.112,3528,)
14.180,3545,(
14.208,3552,N
14.212,3553,N
14.252,3563,)
14.388,3597,(
14.432,3608,t
14.476,3619,t
14.552,3638,)
14.956,3739,(
14.988,3747,p
15.004,3751,p
15.032,3758,)
15.108,3777,(
15.132,3783,N
15.136,3784,N
15.176,3794,)
15.308,3827,(
15.360,3840,t
15.400,3850,t
15.456,3864,t
15.480,3870,)
15.888,3972,(
15.912,3978,p
15.920,3980,p
15.956,3989,)
16.028,4007,(
16.056,4014,N
16.060,4015,N
16.100,4025,)
16.232,4058,(
16.288,4072,t
16.320,4080,t
16.376,4094,t
16.396,4099,)
16.860,4215,(
16.868,4217,p
16.884,4221,p
16.916,4229,)
16.968,4242,(
17.012,4253,N
17.016,4254,N
17.056,4264,)
17.184,4296,(
17.240,4310,t
17.276,4319,t
17.356,4339,)
17.808,4452,(
17.836,4459,p
17.848,4462,p
17.876,4469,)
17.952,4488,(
17.976,4494,N
17.980,4495,N
18.020,4505,)
18.156,4539,(
18.208,4552,t
18.240,4560,t
18.328,4582,)
18.756,4689,(
18.796,4699,p
18.812,4703,p
18.836,4709,)
18.912,4728,(
18.936,4734,N
18.940,4735,N
18.988,4747,)
19.108,4777,(
19.168,4792,t
19.200,4800,t
19.276,4819,)
19.740,4935,(
19.760,4940,p
19.768,4942,p
19.800,4950,)
19.876,4969,(
19.900,4975,N
19.908,4977,N
19.944,4986,)
20.068,5017,(
20.132,5033,t
20.168,5042,t
20.232,5058,t
20.240,5060,)
20.704,5176,(
20.740,5185,p
20.752,5188,p
20.780,5195,)
20.852,5213,(
20.880,5220,N
20.884,5221,N
20.924,5231,)
21.048,5262,(
21.096,5274,t
21.144,5286,t
21.224,5306,)
21.672,5418,(
21.712,5428,p
21.728,5432,p
21.752,5438,)
21.824,5456,(
21.852,5463,N
21.856,5464,N
21.892,5473,)
22.020,5505,(
22.080,5520,t
22.108,5527,t
22.192,5548,)
22.648,5662,(
22.676,5669,p
22.684,5671,p
22.720,5680,)
22.788,5697,(
22.816,5704,N
22.820,5705,N
22.860,5715,)
22.984,5746,(
23.036,5759,t
23.076,5769,t
23.160,5790,)
23.628,5907,(
23.648,5912,p
23.656,5914,p
23.688,5922,)
23.732,5933,(
23.788,5947,N
23.792,5948,N
23.832,5958,)
23.968,5992,(
24.012,6003,t
24.048,6012,t
24.128,6032,)
24.620,6155,(
24.652,6163,p
24.664,6166,p
24.696,6174,)
24.764,6191,(
24.792,6198,N
