Time,Sample #,Type
0.284,71,(
0.308,77,p
0.328,82,)
0.400,100,(
0.428,107,p
0.464,116,)
0.508,127,(
0.548,137,N
0.552,138,N
0.608,152,)
0.792,198,(
0.824,206,t
0.860,215,t
0.912,228,)
1.452,363,(
1.472,368,p
1.476,369,p
1.500,375,)
1.564,391,(
1.596,399,N
1.600,400,N
1.652,413,)
1.836,459,(
1.876,469,t
1.964,491,)
2.364,591,(
2.388,597,p
2.404,601,)
2.472,618,(
2.508,627,p
2.548,637,)
2.600,650,(
2.632,658,N
2.636,659,N
2.680,670,)
2.860,715,(
2.908,727,t
2.944,736,t
3.000,750,)
3.520,880,(
3.556,889,p
3.596,899,)
3.644,911,(
3.676,919,N
3.680,920,N
3.724,931,)
3.888,972,(
3.956,989,t
4.044,1011,)
4.552,1138,(
4.560,1140,p
4.584,1146,p
4.588,1147,)
4.672,1168,(
4.708,1177,N
4.712,1178,N
4.756,1189,)
4.896,1224,(
4.988,1247,t
5.016,1254,t
5.068,1267,)
5.612,1403,(
5.624,1406,p
5.636,1409,p
5.664,1416,)
5.712,1428,(
5.748,1437,N
5.752,1438,N
5.800,1450,)
5.944,1486,(
6.028,1507,t
6.056,1514,t
6.112,1528,)
6.668,1667,(
6.676,1669,p
6.692,1673,p
6.716,1679,)
6.768,1692,(
6.800,1700,N
6.804,1701,N
6.848,1712,)
7.000,1750,(
7.084,1771,t
7.108,1777,t
7.176,1794,)
7.684,1921,(
7.696,1924,p
7.716,1929,p
7.728,1932,)
7.808,1952,(
7.844,1961,N
7.844,1961,N
7.888,1972,)
8.048,2012,(
8.124,2031,t
8.144,2036,t
8.212,2053,)
8.764,2191,(
8.796,2199,p
8.840,2210,)
8.888,2222,(
8.924,2231,N
8.924,2231,N
8.968,2242,)
9.120,2280,(
9.204,2301,t
9.228,2307,t
9.292,2323,)
9.864,2466,(
9.900,2475,p
9.936,2484,)
9.992,2498,(
10.024,2506,N
10.028,2507,N
10.068,2517,)
10.220,2555,(
10.300,2575,t
10.328,2582,t
10.392,2598,)
10.920,2730,(
10.956,2739,p
10.996,2749,)
11.044,2761,(
11.080,2770,N
11.084,2771,N
11.124,2781,)
11.276,2819,(
11.356,2839,t
11.372,2843,t
11.440,2860,)
11.992,2998,(
12.028,3007,p
12.064,3016,)
12.116,3029,(
12.148,3037,N
12.152,3038,N
12.196,3049,)
12.336,3084,(
12.420,3105,t
12.448,3112,t
12.636,3159,t
12.640,3160,t
12.664,3166,)
13.072,3268,(
13.100,3275,p
13.100,3275,p
13.136,3284,)
13.196,3299,(
13.220,3305,N
13.224,3306,N
13.280,3320,)
13.420,3355,(
13.500,3375,t
13.524,3381,t
13.584,3396,)
14.152,3538,(
14.188,3547,p
14.224,3556,)
14.280,3570,(
14.312,3578,N
14.312,3578,N
14.368,3592,)
14.512,3628,(
14.588,3647,t
14.612,3653,t
14.680,3670,)
15.228,3807,(
15.264,3816,p
15.304,3826,)
15.352,3838,(
15.384,3846,N
15.388,3847,N
15.428,3857,)
15.592,3898,(
15.664,3916,t
15.688,3922,t
15.744,3936,)
16.280,4070,(
16.320,4080,p
16.360,4090,)
16.408,4102,(
16.440,4110,N
16.444,4111,N
16.488,4122,)
16.648,4162,(
16.716,4179,t
16.744,4186,t
16.804,4201,)
