Time,Sample #,Type
0.808,202,(
0.852,213,N
0.856,214,N
0.904,226,)
1.080,270,(
1.152,288,t
1.156,289,t
1.256,314,)
1.304,326,(
1.384,346,p
1.424,356,)
1.456,364,(
1.508,377,N
1.512,378,N
1.564,391,)
1.760,440,(
1.804,451,t
1.808,452,t
1.912,478,)
1.960,490,(
2.008,502,p
2.012,503,p
2.024,506,)
2.096,524,(
2.164,541,N
2.168,542,N
2.212,553,)
2.412,603,(
2.452,613,t
2.452,613,t
2.548,637,)
2.752,688,(
2.816,704,N
2.816,704,N
2.872,718,)
3.032,758,(
3.136,784,t
3.140,785,t
3.228,807,)
3.256,814,(
3.316,829,p
3.320,830,p
3.332,833,)
3.412,853,(
3.472,868,N
3.476,869,N
3.532,883,)
3.696,924,(
3.784,946,t
3.788,947,t
3.872,968,)
4.064,1016,(
4.128,1032,N
4.132,1033,N
4.196,1049,)
4.400,1100,(
4.436,1109,t
4.436,1109,t
4.524,1131,)
4.672,1168,(
4.788,1197,N
4.792,1198,N
4.856,1214,)
4.996,1249,(
5.096,1274,t
5.100,1275,t
5.176,1294,)
5.372,1343,(
5.436,1359,N
5.440,1360,N
5.520,1380,)
5.796,1449,(
5.836,1459,p
5.836,1459,)
5.972,1493,(
6.092,1523,N
6.092,1523,N
6.160,1540,)
6.364,1591,(
6.400,1600,t
6.400,1600,t
6.504,1626,)
6.528,1632,(
6.616,1654,p
6.616,1654,p
6.684,1671,)
6.704,1676,(
6.744,1686,N
6.748,1687,N
6.800,1700,)
6.960,1740,(
7.052,1763,t
7.056,1764,t
7.148,1787,)
7.296,1824,(
7.396,1849,N
7.400,1850,N
7.452,1863,)
7.600,1900,(
7.704,1926,t
7.708,1927,t
7.796,1949,)
7.852,1963,(
7.924,1981,p
7.932,1983,p
7.960,1990,)
8.004,2001,(
8.060,2015,N
8.060,2015,N
8.104,2026,)
8.252,2063,(
8.368,2092,t
8.368,2092,t
8.448,2112,)
8.508,2127,(
8.556,2139,p
8.556,2139,p
8.584,2146,)
8.652,2163,(
8.712,2178,N
8.716,2179,N
8.772,2193,)
9.296,2324,(
9.368,2342,N
9.372,2343,N
9.420,2355,)
9.616,2404,(
9.680,2420,t
9.680,2420,t
9.768,2442,)
9.888,2472,(
10.028,2507,N
10.032,2508,N
10.088,2522,)
10.620,2655,(
10.684,2671,N
10.688,2672,N
10.744,2686,)
10.920,2730,(
10.988,2747,t
11.008,2752,t
11.088,2772,)
11.204,2801,(
11.340,2835,N
11.344,2836,N
11.420,2855,)
11.552,2888,(
11.644,2911,t
11.644,2911,t
11.724,2931,)
11.784,2946,(
11.868,2967,p
11.888,2972,)
11.920,2980,(
11.996,2999,N
11.996,2999,N
12.056,3014,)
12.188,3047,(
12.296,3074,t
12.300,3075,t
12.380,3095,)
12.396,3099,(
12.416,3104,p
12.420,3105,p
12.484,3121,)
12.584,3146,(
12.652,3163,N
12.656,3164,N
12.708,3177,)
13.244,3311,(
13.312,3328,N
13.316,3329,N
13.356,3339,)
13.500,3375,(
13.608,3402,t
13.612,3403,t
13.724,3431,)
13.884,3471,(
13.976,3494,N
13.980,3495,N
14.040,3510,)
14.216,3554,(
14.272,3568,t
14.276,3569,t
14.364,3591,)
14.412,3603,(
14.512,3628,p
14.536,3634,p
14.560,3640,)
14.588,3647,(
14.624,3656,N
14.628,3657,N
14.676,3669,)
14.848,3712,(
14.936,3734,t
14.944,3736,t
15.040,3760,)
15.160,3790,(
15.280,3820,N
15.284,3821,N
15.348,3837,)
15.524,3881,(
15.580,3895,t
15.596,3899,t
15.680,3920,)
15.740,3935,(
15.776,3944,p
15.788,3947,)
15.832,3958,(
15.940,3985,N
15.944,3986,N
16.012,4003,)
16.172,4043,(
16.232,4058,t
16.232,4058,t
16.332,4083,)
16.512,4128,(
16.592,4148,N
16.596,4149,N
16.652,4163,)
17.184,4296,(
17.252,4313,N
17.256,4314,N
17.308,4327,)
17.452,4363,(
17.564,4391,t
17.564,4391,t
17.648,4412,)
17.832,4458,(
17.904,4476,N
17.908,4477,N
17.956,4489,)
18.148,4537,(
18.212,4553,t
18.216,4554,t
18.312,4578,)
18.460,4615,(
18.560,4640,N
18.564,4641,N
18.624,4656,)
19.140,4785,(
19.220,4805,N
19.224,4806,N
19.268,4817,)
19.580,4895,(
19.640,4910,p
19.640,4910,p
19.704,4926,)
19.796,4949,(
19.876,4969,N
19.880,4970,N
19.960,4990,)
20.092,5023,(
20.160,5040,t
20.164,5041,t
20.276,5069,)
20.472,5118,(
20.528,5132,N
20.528,5132,N
20.572,5143,)
21.116,5279,(
21.176,5294,N
21.176,5294,N
21.244,5311,)
21.380,5345,(
21.480,5370,t
21.484,5371,t
21.572,5393,)
21.752,5438,(
21.828,5457,N
21.832,5458,N
21.900,5475,)
22.048,5512,(
22.140,5535,t
22.140,5535,t
22.240,5560,)
22.408,5602,(
22.492,5623,N
22.492,5623,N
22.568,5642,)
23.072,5768,(
23.156,5789,N
23.156,5789,N
23.228,5807,)
23.360,5840,(
23.464,5866,t
23.468,5867,t
23.548,5887,)
23.564,5891,(
23.572,5893,p
23.576,5894,p
23.632,5908,)
23.712,5928,(
23.808,5952,N
23.808,5952,N
23.864,5966,)
23.996,5999,(
24.108,6027,t
24.108,6027,t
24.204,6051,)
24.248,6062,(
24.300,6075,p
24.320,6080,)
24.420,6105,(
24.460,6115,N
24.460,6115,N
24.512,6128,)
24.664,6166,(
24.760,6190,t
24.764,6191,t
24.856,6214,)
24.900,6225,(
24.972,6243,p
24.976,6244,p
24.996,6249,)
25.072,6268,(
25.112,6278,N
25.116,6279,N
25.168,6292,)
25.340,6335,(
25.412,6353,t
25.412,6353,t
25.512,6378,)
25.552,6388,(
25.632,6408,p
25.692,6423,)
25.700,6425,(
25.768,6442,N
25.772,6443,N
25.824,6456,)
25.964,6491,(
26.076,6519,t
26.076,6519,t
26.168,6542,)
26.216,6554,(
26.276,6569,p
26.276,6569,p
26.296,6574,)
26.332,6583,(
26.428,6607,N
26.432,6608,N
26.496,6624,)
26.616,6654,(
26.724,6681,t
26.728,6682,t
26.836,6709,)
26.964,6741,(
27.080,6770,N
27.084,6771,N
27.148,6787,)
27.308,6827,(
27.392,6848,t
27.396,6849,t
27.472,6868,)
27.532,6883,(
27.576,6894,p
27.580,6895,p
27.604,6901,)
27.648,6912,(
27.736,6934,N
27.740,6935,N
27.800,6950,)
27.928,6982,(
28.040,7010,t
28.044,7011,t
28.128,7032,)
28.300,7075,(
28.392,7098,N
28.392,7098,N
28.464,7116,)
28.604,7151,(
28.692,7173,t
28.692,7173,t
28.788,7197,)
28.840,7210,(
28.888,7222,p
28.892,7223,p
28.916,7229,)
28.964,7241,(
29.048,7262,N
29.048,7262,N
29.108,7277,)
29.284,7321,(
29.348,7337,t
29.352,7338,t
29.456,7364,)
29.492,7373,(
29.568,7392,p
29.604,7401,)
29.644,7411,(
29.704,7426,N
29.708,7427,N
29.756,7439,)
29.916,7479,(
30.000,7500,t
30.004,7501,t
30.096,7524,)
30.264,7566,(
30.356,7589,N
30.360,7590,N
30.416,7604,)
30.576,7644,(
30.660,7665,t
30.664,7666,t
30.772,7693,)
30.800,7700,(
30.848,7712,p
30.864,7716,)
30.912,7728,(
31.008,7752,N
31.012,7753,N
31.072,7768,)
31.596,7899,(
31.664,7916,N
31.668,7917,N
31.720,7930,)
31.756,7939,(
31.788,7947,t
31.820,7955,t
31.960,7990,t
31.964,7991,t
32.056,8014,)
32.084,8021,(
32.100,8025,p
32.100,8025,p
32.156,8039,)
32.228,8057,(
32.332,8083,N
32.336,8084,N
32.384,8096,)
32.528,8132,(
32.620,8155,t
32.620,8155,t
32.740,8185,)
32.900,8225,(
32.988,8247,N
32.992,8248,N
33.044,8261,)
33.264,8316,(
33.272,8318,t
33.292,8323,t
33.384,8346,)
33.408,8352,(
33.480,8370,p
33.528,8382,)
33.592,8398,(
33.632,8408,N
33.636,8409,N
33.680,8420,)
33.864,8466,(
33.944,8486,t
33.948,8487,t
34.040,8510,)
34.068,8517,(
34.140,8535,p
34.140,8535,p
34.180,8545,)
34.224,8556,(
34.284,8571,N
34.288,8572,N
34.372,8593,)
34.476,8619,(
34.588,8647,t
34.588,8647,t
34.680,8670,)
34.856,8714,(
34.940,8735,N
34.948,8737,N
35.016,8754,)
35.144,8786,(
35.256,8814,t
35.260,8815,t
35.332,8833,)
35.380,8845,(
35.452,8863,p
35.456,8864,p
35.484,8871,)
35.508,8877,(
35.592,8898,N
35.596,8899,N
35.648,8912,)
35.796,8949,(
35.892,8973,t
35.896,8974,t
35.976,8994,)
36.020,9005,(
36.108,9027,p
36.112,9028,p
36.172,9043,)
36.196,9049,(
36.236,9059,N
36.240,9060,N
36.284,9071,)
36.428,9107,(
36.540,9135,t
36.544,9136,t
36.628,9157,)
36.768,9192,(
36.888,9222,N
36.892,9223,N
36.956,9239,)
37.112,9278,(
37.220,9305,t
37.220,9305,t
37.308,9327,)
37.504,9376,(
37.544,9386,N
37.544,9386,N
37.596,9399,)
37.736,9434,(
37.848,9462,t
37.848,9462,t
37.944,9486,)
38.136,9534,(
38.196,9549,N
38.200,9550,N
38.248,9562,)
38.440,9610,(
38.512,9628,t
38.512,9628,t
38.588,9647,)
38.624,9656,(
38.696,9674,p
38.720,9680,)
38.784,9696,(
38.844,9711,N
38.852,9713,N
38.904,9726,)
39.076,9769,(
39.156,9789,t
39.160,9790,t
39.240,9810,)
39.400,9850,(
39.496,9874,N
39.500,9875,N
39.564,9891,)
39.740,9935,(
39.796,9949,t
39.800,9950,t
